id,rodada,data,horario,dia,mandante,visitante,vencedor,arena,mandante_placar,visitante_placar,estado_mandante,estado_visitante,estado_vencedor,perdedor,turno_dia,saldo_placar,pontos_mandante,pontos_visitante,temporada
3665,29,2008-10-09,20h30,quinta-feira,são paulo,náutico,são paulo,morumbi,1.0,0.0,sp,pe,sp,náutico,noite,1.0,3,0,temporada_2008
3666,29,2008-10-11,18h20,sábado,portuguesa,coritiba,-,canindé,0.0,0.0,sp,pr,-,-,noite,0.0,1,1,temporada_2008
3667,29,2008-10-11,18h20,sábado,goiás,internacional,-,serra dourada,1.0,1.0,go,rs,-,-,noite,0.0,1,1,temporada_2008
3668,29,2008-10-11,18h20,sábado,flamengo,atlético-mg,atlético-mg,maracanã,0.0,3.0,rj,mg,mg,flamengo,noite,-3.0,0,3,temporada_2008
3669,29,2008-10-11,18h20,sábado,athlético-pr,fluminense,fluminense,kyocera arena,1.0,3.0,pr,rj,rj,athlético-pr,noite,-2.0,0,3,temporada_2008
3670,30,2008-10-18,18h20,sábado,figueirense,ipatinga,-,orlando scarpelli,1.0,1.0,sc,mg,-,-,noite,0.0,1,1,temporada_2008
3671,30,2008-10-18,18h20,sábado,internacional,athlético-pr,internacional,beira rio,2.0,1.0,rs,pr,rs,athlético-pr,noite,1.0,3,0,temporada_2008
3672,30,2008-10-18,18h20,sábado,botafogo-rj,santos,santos,engenhão,0.0,1.0,rj,sp,sp,botafogo-rj,noite,-1.0,0,3,temporada_2008
3673,30,2008-10-19,16h00,domingo,vitória,fluminense,-,barradão,2.0,2.0,es,rj,-,-,tarde,0.0,1,1,temporada_2008
3674,30,2008-10-19,16h00,domingo,coritiba,goiás,-,couto pereira,1.0,1.0,pr,go,-,-,tarde,0.0,1,1,temporada_2008
3675,30,2008-10-19,18h10,domingo,sport,náutico,-,ilha do retiro,2.0,2.0,pe,pe,-,-,noite,0.0,1,1,temporada_2008
3676,30,2008-10-19,16h00,domingo,palmeiras,são paulo,-,palestra itália,2.0,2.0,sp,sp,-,-,tarde,0.0,1,1,temporada_2008
3677,30,2008-10-19,16h00,domingo,atlético-mg,cruzeiro,cruzeiro,mineirão,0.0,2.0,mg,mg,mg,atlético-mg,tarde,-2.0,0,3,temporada_2008
3678,30,2008-10-19,18h10,domingo,vasco,flamengo,flamengo,são januário,0.0,1.0,rj,rj,rj,vasco,noite,-1.0,0,3,temporada_2008
3679,30,2008-10-19,18h10,domingo,portuguesa,grêmio,portuguesa,canindé,2.0,0.0,sp,rs,sp,grêmio,noite,2.0,3,0,temporada_2008
3680,31,2008-10-22,22h00,quarta-feira,goiás,vasco,vasco,serra dourada,2.0,4.0,go,rj,rj,goiás,noite,-2.0,0,3,temporada_2008
3681,31,2008-10-23,20h30,quinta-feira,flamengo,coritiba,flamengo,maracanã,5.0,0.0,rj,pr,rj,coritiba,noite,5.0,3,0,temporada_2008
3682,31,2008-10-23,20h30,quinta-feira,grêmio,sport,grêmio,olímpico monumental,1.0,0.0,rs,pe,rs,sport,noite,1.0,3,0,temporada_2008
3683,31,2008-10-23,20h30,quinta-feira,são paulo,vitória,são paulo,morumbi,2.0,1.0,sp,es,sp,vitória,noite,1.0,3,0,temporada_2008
3684,31,2008-10-25,18h20,sábado,atlético-mg,internacional,-,mineirão,2.0,2.0,mg,rs,-,-,noite,0.0,1,1,temporada_2008
3685,31,2008-10-25,18h20,sábado,náutico,portuguesa,-,aflitos,1.0,1.0,pe,sp,-,-,noite,0.0,1,1,temporada_2008
3686,31,2008-10-25,18h20,sábado,athlético-pr,cruzeiro,athlético-pr,kyocera arena,1.0,0.0,pr,mg,pr,cruzeiro,noite,1.0,3,0,temporada_2008
3687,31,2008-10-25,16h00,sábado,ipatinga,botafogo-rj,botafogo-rj,ipatingão,0.0,3.0,mg,rj,rj,ipatinga,tarde,-3.0,0,3,temporada_2008
3688,31,2008-10-25,16h00,sábado,fluminense,palmeiras,fluminense,maracanã,3.0,0.0,rj,sp,rj,palmeiras,tarde,3.0,3,0,temporada_2008
3689,31,2008-10-25,18h20,sábado,santos,figueirense,santos,vila belmiro,3.0,0.0,sp,sc,sp,figueirense,noite,3.0,3,0,temporada_2008
3690,32,2008-10-29,21h50,quarta-feira,vitória,flamengo,-,barradão,0.0,0.0,es,rj,-,-,noite,0.0,1,1,temporada_2008
3691,32,2008-10-29,20h30,quarta-feira,internacional,náutico,-,beira rio,1.0,1.0,rs,pe,-,-,noite,0.0,1,1,temporada_2008
3692,32,2008-10-29,19h30,quarta-feira,coritiba,atlético-mg,coritiba,couto pereira,2.0,1.0,pr,mg,pr,atlético-mg,noite,1.0,3,0,temporada_2008
3693,32,2008-10-29,21h50,quarta-feira,cruzeiro,grêmio,cruzeiro,mineirão,3.0,0.0,mg,rs,mg,grêmio,noite,3.0,3,0,temporada_2008
3694,32,2008-10-29,20h30,quarta-feira,palmeiras,goiás,palmeiras,palestra itália,1.0,0.0,sp,go,sp,goiás,noite,1.0,3,0,temporada_2008
3695,32,2008-10-29,19h30,quarta-feira,portuguesa,ipatinga,portuguesa,canindé,2.0,0.0,sp,mg,sp,ipatinga,noite,2.0,3,0,temporada_2008
3696,32,2008-10-29,21h50,quarta-feira,botafogo-rj,são paulo,são paulo,engenhão,1.0,2.0,rj,sp,sp,botafogo-rj,noite,-1.0,0,3,temporada_2008
3697,32,2008-10-30,20h30,quinta-feira,vasco,athlético-pr,-,são januário,2.0,2.0,rj,pr,-,-,noite,0.0,1,1,temporada_2008
3698,32,2008-10-30,20h30,quinta-feira,sport,santos,-,ilha do retiro,1.0,1.0,pe,sp,-,-,noite,0.0,1,1,temporada_2008
3699,33,2008-11-01,18h20,sábado,flamengo,portuguesa,-,maracanã,2.0,2.0,rj,sp,-,-,noite,0.0,1,1,temporada_2008
3700,33,2008-11-01,18h20,sábado,ipatinga,coritiba,ipatinga,ipatingão,2.0,0.0,mg,pr,mg,coritiba,noite,2.0,3,0,temporada_2008
3701,33,2008-11-01,18h20,sábado,náutico,vitória,náutico,aflitos,1.0,0.0,pe,es,pe,vitória,noite,1.0,3,0,temporada_2008
3702,33,2008-11-02,19h10,domingo,grêmio,figueirense,-,olímpico monumental,1.0,1.0,rs,sc,-,-,noite,0.0,1,1,temporada_2008
3703,33,2008-11-02,17h00,domingo,atlético-mg,botafogo-rj,atlético-mg,mineirão,2.0,1.0,mg,rj,mg,botafogo-rj,tarde,1.0,3,0,temporada_2008
3704,33,2008-11-02,17h00,domingo,athlético-pr,sport,athlético-pr,kyocera arena,1.0,0.0,pr,pe,pr,sport,tarde,1.0,3,0,temporada_2008
3705,33,2008-11-02,17h00,domingo,goiás,cruzeiro,goiás,serra dourada,3.0,0.0,go,mg,go,cruzeiro,tarde,3.0,3,0,temporada_2008
3706,33,2008-11-02,17h00,domingo,santos,palmeiras,palmeiras,vila belmiro,1.0,2.0,sp,sp,sp,santos,tarde,-1.0,0,3,temporada_2008
3707,33,2008-11-02,19h10,domingo,são paulo,internacional,são paulo,morumbi,3.0,0.0,sp,rs,sp,internacional,noite,3.0,3,0,temporada_2008
3708,33,2008-11-02,19h10,domingo,fluminense,vasco,vasco,maracanã,0.0,1.0,rj,rj,rj,fluminense,noite,-1.0,0,3,temporada_2008
3709,32,2008-11-05,20h30,quarta-feira,figueirense,fluminense,fluminense,orlando scarpelli,0.0,1.0,sc,rj,rj,figueirense,noite,-1.0,0,3,temporada_2008
3710,34,2008-11-08,18h30,sábado,figueirense,athlético-pr,athlético-pr,orlando scarpelli,0.0,2.0,sc,pr,pr,figueirense,noite,-2.0,0,3,temporada_2008
3711,34,2008-11-08,18h30,sábado,portuguesa,são paulo,são paulo,canindé,2.0,3.0,sp,sp,sp,portuguesa,noite,-1.0,0,3,temporada_2008
3712,34,2008-11-08,18h30,sábado,vasco,santos,vasco,são januário,1.0,0.0,rj,sp,rj,santos,noite,1.0,3,0,temporada_2008
3713,34,2008-11-09,17h00,domingo,coritiba,náutico,-,couto pereira,0.0,0.0,pr,pe,-,-,tarde,0.0,1,1,temporada_2008
3714,34,2008-11-09,19h10,domingo,vitória,atlético-mg,atlético-mg,barradão,0.0,1.0,es,mg,mg,vitória,noite,-1.0,0,3,temporada_2008
3715,34,2008-11-09,17h00,domingo,cruzeiro,fluminense,cruzeiro,mineirão,1.0,0.0,mg,rj,mg,fluminense,tarde,1.0,3,0,temporada_2008
3716,34,2008-11-09,19h10,domingo,botafogo-rj,flamengo,flamengo,maracanã,0.0,1.0,rj,rj,rj,botafogo-rj,noite,-1.0,0,3,temporada_2008
3717,34,2008-11-09,17h00,domingo,palmeiras,grêmio,grêmio,palestra itália,0.0,1.0,sp,rs,rs,palmeiras,tarde,-1.0,0,3,temporada_2008
3718,34,2008-11-09,19h10,domingo,internacional,ipatinga,internacional,beira rio,4.0,0.0,rs,mg,rs,ipatinga,noite,4.0,3,0,temporada_2008
3719,34,2008-11-09,17h00,domingo,sport,goiás,sport,ilha do retiro,2.0,1.0,pe,go,pe,goiás,tarde,1.0,3,0,temporada_2008
3720,35,2008-11-12,17h00,quarta-feira,atlético-mg,vasco,atlético-mg,mineirão,4.0,1.0,mg,rj,mg,vasco,tarde,3.0,3,0,temporada_2008
3721,35,2008-11-15,18h30,sábado,fluminense,portuguesa,fluminense,maracanã,3.0,1.0,rj,sp,rj,portuguesa,noite,2.0,3,0,temporada_2008
3722,35,2008-11-15,18h30,sábado,ipatinga,sport,ipatinga,ipatingão,3.0,0.0,mg,pe,mg,sport,noite,3.0,3,0,temporada_2008
3723,35,2008-11-15,18h30,sábado,náutico,cruzeiro,náutico,aflitos,5.0,2.0,pe,mg,pe,cruzeiro,noite,3.0,3,0,temporada_2008
3724,35,2008-11-16,19h10,domingo,athlético-pr,vitória,athlético-pr,kyocera arena,2.0,1.0,pr,es,pr,vitória,noite,1.0,3,0,temporada_2008
3725,35,2008-11-16,17h00,domingo,flamengo,palmeiras,flamengo,maracanã,5.0,2.0,rj,sp,rj,palmeiras,tarde,3.0,3,0,temporada_2008
3726,35,2008-11-16,17h00,domingo,goiás,botafogo-rj,goiás,juscelino kubitscheck,3.0,1.0,go,rj,go,botafogo-rj,tarde,2.0,3,0,temporada_2008
3727,35,2008-11-16,19h10,domingo,grêmio,coritiba,grêmio,olímpico monumental,2.0,1.0,rs,pr,rs,coritiba,noite,1.0,3,0,temporada_2008
3728,35,2008-11-16,19h10,domingo,santos,internacional,santos,vila belmiro,1.0,0.0,sp,rs,sp,internacional,noite,1.0,3,0,temporada_2008
3729,35,2008-11-16,17h00,domingo,são paulo,figueirense,são paulo,morumbi,3.0,1.0,sp,sc,sp,figueirense,tarde,2.0,3,0,temporada_2008
3730,36,2008-11-20,20h30,quinta-feira,figueirense,náutico,figueirense,orlando scarpelli,4.0,3.0,sc,pe,sc,náutico,noite,1.0,3,0,temporada_2008
3731,36,2008-11-22,18h30,sábado,botafogo-rj,athlético-pr,-,engenhão,2.0,2.0,rj,pr,-,-,noite,0.0,1,1,temporada_2008
3732,36,2008-11-22,18h30,sábado,portuguesa,goiás,-,canindé,0.0,0.0,sp,go,-,-,noite,0.0,1,1,temporada_2008
3733,36,2008-11-22,18h30,sábado,coritiba,santos,coritiba,couto pereira,5.0,1.0,pr,sp,pr,santos,noite,4.0,3,0,temporada_2008
3734,36,2008-11-23,17h00,domingo,cruzeiro,flamengo,cruzeiro,mineirão,3.0,2.0,mg,rj,mg,flamengo,tarde,1.0,3,0,temporada_2008
3735,36,2008-11-23,19h10,domingo,internacional,fluminense,fluminense,beira rio,0.0,2.0,rs,rj,rj,internacional,noite,-2.0,0,3,temporada_2008
3736,36,2008-11-23,19h10,domingo,palmeiras,ipatinga,palmeiras,palestra itália,2.0,0.0,sp,mg,sp,ipatinga,noite,2.0,3,0,temporada_2008
3737,36,2008-11-23,17h00,domingo,vasco,são paulo,são paulo,são januário,1.0,2.0,rj,sp,sp,vasco,tarde,-1.0,0,3,temporada_2008
3738,36,2008-11-23,19h10,domingo,sport,atlético-mg,sport,ilha do retiro,3.0,0.0,pe,mg,pe,atlético-mg,noite,3.0,3,0,temporada_2008
3739,36,2008-11-23,17h00,domingo,vitória,grêmio,vitória,barradão,4.0,2.0,es,rs,es,grêmio,tarde,2.0,3,0,temporada_2008
3740,37,2008-11-30,17h00,domingo,são paulo,fluminense,-,morumbi,1.0,1.0,sp,rj,-,-,tarde,0.0,1,1,temporada_2008
3741,37,2008-11-30,17h00,domingo,flamengo,goiás,-,maracanã,3.0,3.0,rj,go,-,-,tarde,0.0,1,1,temporada_2008
3742,37,2008-11-30,17h00,domingo,vitória,palmeiras,-,barradão,0.0,0.0,es,sp,-,-,tarde,0.0,1,1,temporada_2008
3743,37,2008-11-30,17h00,domingo,atlético-mg,santos,-,mineirão,0.0,0.0,mg,sp,-,-,tarde,0.0,1,1,temporada_2008
3744,37,2008-11-30,17h00,domingo,portuguesa,sport,-,canindé,2.0,2.0,sp,pe,-,-,tarde,0.0,1,1,temporada_2008
3745,37,2008-11-30,17h00,domingo,botafogo-rj,figueirense,figueirense,engenhão,1.0,3.0,rj,sc,sc,botafogo-rj,tarde,-2.0,0,3,temporada_2008
3746,37,2008-11-30,17h00,domingo,ipatinga,grêmio,grêmio,ipatingão,1.0,4.0,mg,rs,rs,ipatinga,tarde,-3.0,0,3,temporada_2008
3747,37,2008-11-30,17h00,domingo,internacional,cruzeiro,internacional,beira rio,1.0,0.0,rs,mg,rs,cruzeiro,tarde,1.0,3,0,temporada_2008
3748,37,2008-11-30,17h00,domingo,náutico,athlético-pr,náutico,aflitos,2.0,1.0,pe,pr,pe,athlético-pr,tarde,1.0,3,0,temporada_2008
3749,37,2008-11-30,17h00,domingo,coritiba,vasco,vasco,couto pereira,0.0,2.0,pr,rj,rj,coritiba,tarde,-2.0,0,3,temporada_2008
3750,38,2008-12-07,17h00,domingo,fluminense,ipatinga,-,maracanã,1.0,1.0,rj,mg,-,-,tarde,0.0,1,1,temporada_2008
3751,38,2008-12-07,17h00,domingo,santos,náutico,-,vila belmiro,0.0,0.0,sp,pe,-,-,tarde,0.0,1,1,temporada_2008
3752,38,2008-12-07,17h00,domingo,athlético-pr,flamengo,athlético-pr,kyocera arena,5.0,3.0,pr,rj,pr,flamengo,tarde,2.0,3,0,temporada_2008
3753,38,2008-12-07,17h00,domingo,palmeiras,botafogo-rj,botafogo-rj,palestra itália,0.0,1.0,sp,rj,rj,palmeiras,tarde,-1.0,0,3,temporada_2008
3754,38,2008-12-07,17h00,domingo,cruzeiro,portuguesa,cruzeiro,mineirão,4.0,1.0,mg,sp,mg,portuguesa,tarde,3.0,3,0,temporada_2008
3755,38,2008-12-07,17h00,domingo,figueirense,internacional,figueirense,orlando scarpelli,3.0,1.0,sc,rs,sc,internacional,tarde,2.0,3,0,temporada_2008
3756,38,2008-12-07,17h00,domingo,grêmio,atlético-mg,grêmio,olímpico monumental,2.0,0.0,rs,mg,rs,atlético-mg,tarde,2.0,3,0,temporada_2008
3757,38,2008-12-07,17h00,domingo,goiás,são paulo,são paulo,bezerrão,0.0,1.0,go,sp,sp,goiás,tarde,-1.0,0,3,temporada_2008
3758,38,2008-12-07,17h00,domingo,sport,coritiba,sport,ilha do retiro,4.0,3.0,pe,pr,pe,coritiba,tarde,1.0,3,0,temporada_2008
3759,38,2008-12-07,17h00,domingo,vasco,vitória,vitória,são januário,0.0,2.0,rj,es,es,vasco,tarde,-2.0,0,3,temporada_2008
3760,1,2009-05-09,18h30,sábado,avaí,atlético-mg,-,ressacada,2.0,2.0,sc,mg,-,-,noite,0.0,1,1,temporada_2009
3761,1,2009-05-09,18h30,sábado,sport,barueri,-,ilha do retiro,1.0,1.0,pe,sp,-,-,noite,0.0,1,1,temporada_2009
3762,1,2009-05-09,18h30,sábado,palmeiras,coritiba,palmeiras,palestra itália,2.0,1.0,sp,pr,sp,coritiba,noite,1.0,3,0,temporada_2009
3763,1,2009-05-10,18h30,domingo,santo andré,botafogo-rj,-,bruno josé daniel,1.0,1.0,sp,rj,-,-,noite,0.0,1,1,temporada_2009
3764,1,2009-05-10,18h30,domingo,goiás,náutico,-,serra dourada,3.0,3.0,go,pe,-,-,noite,0.0,1,1,temporada_2009
3765,1,2009-05-10,18h30,domingo,grêmio,santos,-,olímpico monumental,1.0,1.0,rs,sp,-,-,noite,0.0,1,1,temporada_2009
3766,1,2009-05-10,16h00,domingo,cruzeiro,flamengo,cruzeiro,mineirão,2.0,0.0,mg,rj,mg,flamengo,tarde,2.0,3,0,temporada_2009
3767,1,2009-05-10,16h00,domingo,fluminense,são paulo,fluminense,maracanã,1.0,0.0,rj,sp,rj,são paulo,tarde,1.0,3,0,temporada_2009
3768,1,2009-05-10,16h00,domingo,corinthians,internacional,internacional,pacaembu,0.0,1.0,sp,rs,rs,corinthians,tarde,-1.0,0,3,temporada_2009
3769,1,2009-05-10,16h00,domingo,athlético-pr,vitória,vitória,arena da baixada,0.0,2.0,pr,es,es,athlético-pr,tarde,-2.0,0,3,temporada_2009
3770,2,2009-05-16,18h30,sábado,flamengo,avaí,-,maracanã,0.0,0.0,rj,sc,-,-,noite,0.0,1,1,temporada_2009
3771,2,2009-05-16,18h30,sábado,atlético-mg,grêmio,atlético-mg,mineirão,2.0,1.0,mg,rs,mg,grêmio,noite,1.0,3,0,temporada_2009
3772,2,2009-05-16,18h30,sábado,coritiba,santo andré,santo andré,couto pereira,2.0,4.0,pr,sp,sp,coritiba,noite,-2.0,0,3,temporada_2009
3773,2,2009-05-17,16h00,domingo,são paulo,athlético-pr,-,morumbi,2.0,2.0,sp,pr,-,-,tarde,0.0,1,1,temporada_2009
3774,2,2009-05-17,18h30,domingo,botafogo-rj,corinthians,-,engenhão,0.0,0.0,rj,sp,-,-,noite,0.0,1,1,temporada_2009
3775,2,2009-05-17,16h00,domingo,barueri,fluminense,-,arena barueri,0.0,0.0,sp,rj,-,-,tarde,0.0,1,1,temporada_2009
3776,2,2009-05-17,16h00,domingo,santos,goiás,-,vila belmiro,3.0,3.0,sp,go,-,-,tarde,0.0,1,1,temporada_2009
3777,2,2009-05-17,16h00,domingo,internacional,palmeiras,internacional,beira rio,2.0,0.0,rs,sp,rs,palmeiras,tarde,2.0,3,0,temporada_2009
3778,2,2009-05-17,18h30,domingo,náutico,cruzeiro,náutico,aflitos,2.0,0.0,pe,mg,pe,cruzeiro,noite,2.0,3,0,temporada_2009
3779,2,2009-05-17,18h30,domingo,vitória,sport,vitória,barradão,1.0,0.0,es,pe,es,sport,noite,1.0,3,0,temporada_2009
3780,3,2009-05-23,18h30,sábado,corinthians,barueri,corinthians,pacaembu,2.0,1.0,sp,sp,sp,barueri,noite,1.0,3,0,temporada_2009
3781,3,2009-05-23,18h30,sábado,cruzeiro,vitória,cruzeiro,mineirão,2.0,0.0,mg,es,mg,vitória,noite,2.0,3,0,temporada_2009
3782,3,2009-05-23,18h30,sábado,goiás,internacional,internacional,serra dourada,0.0,1.0,go,rs,rs,goiás,noite,-1.0,0,3,temporada_2009
3783,3,2009-05-24,18h30,domingo,avaí,coritiba,-,ressacada,2.0,2.0,sc,pr,-,-,noite,0.0,1,1,temporada_2009
3784,3,2009-05-24,16h00,domingo,palmeiras,são paulo,-,palestra itália,0.0,0.0,sp,sp,-,-,tarde,0.0,1,1,temporada_2009
3785,3,2009-05-24,18h30,domingo,sport,atlético-mg,atlético-mg,ilha do retiro,2.0,3.0,pe,mg,mg,sport,noite,-1.0,0,3,temporada_2009
3786,3,2009-05-24,18h30,domingo,santo andré,flamengo,flamengo,bruno josé daniel,1.0,2.0,sp,rj,rj,santo andré,noite,-1.0,0,3,temporada_2009
3787,3,2009-05-24,16h00,domingo,grêmio,botafogo-rj,grêmio,olímpico monumental,2.0,0.0,rs,rj,rs,botafogo-rj,tarde,2.0,3,0,temporada_2009
3788,3,2009-05-24,16h00,domingo,athlético-pr,náutico,náutico,arena da baixada,2.0,3.0,pr,pe,pe,athlético-pr,tarde,-1.0,0,3,temporada_2009
3789,3,2009-05-24,16h00,domingo,fluminense,santos,santos,maracanã,1.0,4.0,rj,sp,sp,fluminense,tarde,-3.0,0,3,temporada_2009
3790,4,2009-05-30,18h30,sábado,atlético-mg,santo andré,-,mineirão,0.0,0.0,mg,sp,-,-,noite,0.0,1,1,temporada_2009
3791,4,2009-05-30,18h30,sábado,botafogo-rj,sport,-,engenhão,2.0,2.0,rj,pe,-,-,noite,0.0,1,1,temporada_2009
3792,4,2009-05-30,18h30,sábado,coritiba,goiás,goiás,couto pereira,1.0,3.0,pr,go,go,coritiba,noite,-2.0,0,3,temporada_2009
3793,6,2009-05-31,16h00,domingo,goiás,corinthians,-,serra dourada,0.0,0.0,go,sp,-,-,tarde,0.0,1,1,temporada_2009
3794,4,2009-05-31,16h00,domingo,náutico,fluminense,-,aflitos,1.0,1.0,pe,rj,-,-,tarde,0.0,1,1,temporada_2009
3795,6,2009-05-31,16h00,domingo,fluminense,grêmio,-,maracanã,0.0,0.0,rj,rs,-,-,tarde,0.0,1,1,temporada_2009
3796,4,2009-05-31,18h30,domingo,barueri,palmeiras,-,arena barueri,2.0,2.0,sp,sp,-,-,noite,0.0,1,1,temporada_2009
3797,6,2009-05-31,18h30,domingo,internacional,vitória,-,beira rio,0.0,0.0,rs,es,-,-,noite,0.0,1,1,temporada_2009
3798,6,2009-05-31,16h00,domingo,atlético-mg,náutico,atlético-mg,mineirão,3.0,0.0,mg,pe,mg,náutico,tarde,3.0,3,0,temporada_2009
3799,6,2009-05-31,18h30,domingo,barueri,avaí,barueri,arena barueri,3.0,1.0,sp,sc,sp,avaí,noite,2.0,3,0,temporada_2009
3800,6,2009-05-31,16h00,domingo,coritiba,flamengo,coritiba,couto pereira,5.0,0.0,pr,rj,pr,flamengo,tarde,5.0,3,0,temporada_2009
3801,4,2009-05-31,16h00,domingo,flamengo,athlético-pr,flamengo,maracanã,2.0,1.0,rj,pr,rj,athlético-pr,tarde,1.0,3,0,temporada_2009
3802,4,2009-05-31,18h30,domingo,internacional,avaí,internacional,beira rio,2.0,1.0,rs,sc,rs,avaí,noite,1.0,3,0,temporada_2009
3803,6,2009-05-31,18h30,domingo,palmeiras,cruzeiro,palmeiras,palestra itália,3.0,1.0,sp,mg,sp,cruzeiro,noite,2.0,3,0,temporada_2009
3804,4,2009-05-31,16h00,domingo,santos,corinthians,santos,vila belmiro,3.0,1.0,sp,sp,sp,corinthians,tarde,2.0,3,0,temporada_2009
3805,4,2009-05-31,16h00,domingo,são paulo,cruzeiro,são paulo,morumbi,3.0,0.0,sp,mg,sp,cruzeiro,tarde,3.0,3,0,temporada_2009
3806,4,2009-05-31,16h00,domingo,vitória,grêmio,vitória,barradão,1.0,0.0,es,rs,es,grêmio,tarde,1.0,3,0,temporada_2009
3807,5,2009-06-04,21h00,quinta-feira,santo andré,santos,-,bruno josé daniel,3.0,3.0,sp,sp,-,-,noite,0.0,1,1,temporada_2009
3808,5,2009-06-04,21h00,quinta-feira,grêmio,náutico,grêmio,olímpico monumental,3.0,0.0,rs,pe,rs,náutico,noite,3.0,3,0,temporada_2009
3809,5,2009-06-06,21h00,sábado,corinthians,coritiba,corinthians,pacaembu,2.0,0.0,sp,pr,sp,coritiba,noite,2.0,3,0,temporada_2009
3810,5,2009-06-07,18h30,domingo,goiás,barueri,-,serra dourada,2.0,2.0,go,sp,-,-,noite,0.0,1,1,temporada_2009
3811,5,2009-06-07,18h30,domingo,cruzeiro,internacional,-,mineirão,1.0,1.0,mg,rs,-,-,noite,0.0,1,1,temporada_2009
3812,5,2009-06-07,16h00,domingo,avaí,são paulo,-,ressacada,0.0,0.0,sc,sp,-,-,tarde,0.0,1,1,temporada_2009
3813,5,2009-06-07,16h00,domingo,athlético-pr,atlético-mg,atlético-mg,arena da baixada,0.0,4.0,pr,mg,mg,athlético-pr,tarde,-4.0,0,3,temporada_2009
3814,5,2009-06-07,18h30,domingo,fluminense,botafogo-rj,fluminense,maracanã,1.0,0.0,rj,rj,rj,botafogo-rj,noite,1.0,3,0,temporada_2009
3815,5,2009-06-07,16h00,domingo,palmeiras,vitória,palmeiras,palestra itália,2.0,1.0,sp,es,sp,vitória,tarde,1.0,3,0,temporada_2009
3816,5,2009-06-07,16h00,domingo,sport,flamengo,sport,ilha do retiro,4.0,2.0,pe,rj,pe,flamengo,tarde,2.0,3,0,temporada_2009
3817,6,2009-06-13,18h30,sábado,são paulo,santo andré,-,morumbi,1.0,1.0,sp,sp,-,-,noite,0.0,1,1,temporada_2009
3818,6,2009-06-13,18h30,sábado,sport,athlético-pr,athlético-pr,ilha do retiro,0.0,1.0,pe,pr,pr,sport,noite,-1.0,0,3,temporada_2009
3819,6,2009-06-13,18h30,sábado,botafogo-rj,santos,botafogo-rj,engenhão,2.0,0.0,rj,sp,rj,santos,noite,2.0,3,0,temporada_2009
3820,7,2009-06-20,18h30,sábado,grêmio,goiás,-,olímpico monumental,2.0,2.0,rs,go,-,-,noite,0.0,1,1,temporada_2009
3821,7,2009-06-20,16h10,sábado,athlético-pr,palmeiras,-,arena da baixada,2.0,2.0,pr,sp,-,-,tarde,0.0,1,1,temporada_2009
3822,7,2009-06-20,18h30,sábado,avaí,fluminense,avaí,ressacada,3.0,2.0,sc,rj,sc,fluminense,noite,1.0,3,0,temporada_2009
3823,7,2009-06-20,18h30,sábado,náutico,coritiba,coritiba,aflitos,0.0,1.0,pe,pr,pr,náutico,noite,-1.0,0,3,temporada_2009
3824,7,2009-06-20,16h10,sábado,santo andré,sport,santo andré,bruno josé daniel,2.0,1.0,sp,pe,sp,sport,tarde,1.0,3,0,temporada_2009
3825,7,2009-06-20,16h10,sábado,vitória,botafogo-rj,vitória,barradão,4.0,3.0,es,rj,es,botafogo-rj,tarde,1.0,3,0,temporada_2009
3826,7,2009-06-21,18h30,domingo,santos,atlético-mg,atlético-mg,vila belmiro,2.0,3.0,sp,mg,mg,santos,noite,-1.0,0,3,temporada_2009
3827,7,2009-06-21,18h30,domingo,cruzeiro,barueri,barueri,mineirão,2.0,4.0,mg,sp,sp,cruzeiro,noite,-2.0,0,3,temporada_2009
3828,7,2009-06-21,18h30,domingo,corinthians,são paulo,corinthians,pacaembu,3.0,1.0,sp,sp,sp,são paulo,noite,2.0,3,0,temporada_2009
3829,7,2009-06-21,18h30,domingo,flamengo,internacional,flamengo,maracanã,4.0,0.0,rj,rs,rj,internacional,noite,4.0,3,0,temporada_2009
3830,8,2009-06-27,16h10,sábado,athlético-pr,corinthians,athlético-pr,arena da baixada,1.0,0.0,pr,sp,pr,corinthians,tarde,1.0,3,0,temporada_2009
3831,8,2009-06-27,16h10,sábado,barueri,atlético-mg,barueri,arena barueri,4.0,2.0,sp,mg,sp,atlético-mg,tarde,2.0,3,0,temporada_2009
3832,8,2009-06-27,18h30,sábado,cruzeiro,avaí,cruzeiro,mineirão,1.0,0.0,mg,sc,mg,avaí,noite,1.0,3,0,temporada_2009
3833,8,2009-06-27,18h30,sábado,botafogo-rj,goiás,goiás,engenhão,1.0,4.0,rj,go,go,botafogo-rj,noite,-3.0,0,3,temporada_2009
3834,8,2009-06-27,16h10,sábado,são paulo,náutico,são paulo,morumbi,2.0,0.0,sp,pe,sp,náutico,tarde,2.0,3,0,temporada_2009
3835,8,2009-06-28,18h30,domingo,fluminense,flamengo,-,maracanã,0.0,0.0,rj,rj,-,-,noite,0.0,1,1,temporada_2009
3836,8,2009-06-28,18h30,domingo,palmeiras,santos,-,palestra itália,1.0,1.0,sp,sp,-,-,noite,0.0,1,1,temporada_2009
3837,8,2009-06-28,18h30,domingo,internacional,coritiba,internacional,beira rio,3.0,0.0,rs,pr,rs,coritiba,noite,3.0,3,0,temporada_2009
